id,product_id,sku,quantity_available,reserved_quantity,reorder_threshold,warehouse_location,shelf_location,last_updated,status
1,1,SKU12345,100,0,20,WH1,SHELF1,'2025-05-13 10:00:00',IN_STOCK
2,2,SKU48387,50,0,10,WH2,SHELF2,'2025-05-13 10:00:00',LOW_STOCK
3,3,SKU71316,0,0,5,WH1,SHELF3,'2025-05-13 10:00:00',OUT_OF_STOCK
4,4,SKU57140,200,0,50,WH3,SHELF4,'2025-05-13 10:00:00',IN_STOCK
5,5,SKU48117,30,0,15,WH2,SHELF5,'2025-05-13 10:00:00',LOW_STOCK
6,6,SKU74646,500,0,20,WH1,SHELF6,'2025-05-13 10:00:00',OUT_OF_STOCK
7,7,SKU41992,500,0,20,WH3,SHELF7,'2025-05-13 10:00:00',IN_STOCK
8,8,SKU65485,500,0,20,WH2,SHELF8,'2025-05-13 10:00:00',LOW_STOCK
9,9,SKU75140,500,0,20,WH1,SHELF9,'2025-05-13 10:00:00',OUT_OF_STOCK
10,10,SKU14608,500,0,20,WH3,SHELF10,'2025-05-13 10:00:00',IN_STOCK
11,11,SKU81754,500,0,20,WH2,SHELF11,'2025-05-13 10:00:00',LOW_STOCK
12,12,SKU91275,500,0,20,WH1,SHELF12,'2025-05-13 10:00:00',OUT_OF_STOCK
13,13,SKU48306,500,0,20,WH3,SHELF13,'2025-05-13 10:00:00',IN_STOCK
14,14,SKU23204,500,0,20,WH2,SHELF14,'2025-05-13 10:00:00',LOW_STOCK
15,15,SKU51133,500,0,20,WH1,SHELF15,'2025-05-13 10:00:00',OUT_OF_STOCK
16,16,SKU49681,500,0,20,WH3,SHELF16,'2025-05-13 10:00:00',IN_STOCK
17,17,SKU36639,500,0,20,WH2,SHELF17,'2025-05-13 10:00:00',LOW_STOCK
18,18,SKU99276,500,0,20,WH1,SHELF18,'2025-05-13 10:00:00',OUT_OF_STOCK
19,19,SKU72120,500,0,20,WH3,SHELF19,'2025-05-13 10:00:00',IN_STOCK
20,20,SKU45225,500,0,20,WH2,SHELF20,'2025-05-13 10:00:00',LOW_STOCK
21,21,SKU64672,500,0,20,WH1,SHELF21,'2025-05-13 10:00:00',OUT_OF_STOCK
22,22,SKU95454,500,0,20,WH3,SHELF22,'2025-05-13 10:00:00',IN_STOCK
23,23,SKU53426,500,0,20,WH2,SHELF23,'2025-05-13 10:00:00',LOW_STOCK
24,24,SKU78707,500,0,20,WH1,SHELF24,'2025-05-13 10:00:00',OUT_OF_STOCK
25,25,SKU63128,500,0,20,WH3,SHELF25,'2025-05-13 10:00:00',IN_STOCK
26,26,SKU98469,500,0,20,WH2,SHELF26,'2025-05-13 10:00:00',LOW_STOCK
27,27,SKU49214,500,0,20,WH1,SHELF27,'2025-05-13 10:00:00',OUT_OF_STOCK
28,28,SKU52143,500,0,20,WH3,SHELF28,'2025-05-13 10:00:00',IN_STOCK
29,29,SKU48956,500,0,20,WH2,SHELF29,'2025-05-13 10:00:00',LOW_STOCK
30,30,SKU15283,500,0,20,WH1,SHELF30,'2025-05-13 10:00:00',OUT_OF_STOCK
31,31,SKU24321,500,0,20,WH3,SHELF31,'2025-05-13 10:00:00',IN_STOCK
32,32,SKU81165,500,0,20,WH2,SHELF32,'2025-05-13 10:00:00',LOW_STOCK
33,33,SKU11557,500,0,20,WH1,SHELF33,'2025-05-13 10:00:00',OUT_OF_STOCK
34,34,SKU43021,500,0,20,WH3,SHELF34,'2025-05-13 10:00:00',IN_STOCK
35,35,SKU63722,500,0,20,WH2,SHELF35,'2025-05-13 10:00:00',LOW_STOCK
36,36,SKU29702,500,0,20,WH1,SHELF36,'2025-05-13 10:00:00',OUT_OF_STOCK
37,37,SKU16758,500,0,20,WH3,SHELF37,'2025-05-13 10:00:00',IN_STOCK
38,38,SKU36769,500,0,20,WH2,SHELF38,'2025-05-13 10:00:00',LOW_STOCK
39,39,SKU73911,500,0,20,WH1,SHELF39,'2025-05-13 10:00:00',OUT_OF_STOCK
40,40,SKU54338,500,0,20,WH3,SHELF40,'2025-05-13 10:00:00',IN_STOCK
41,41,SKU69410,500,0,20,WH2,SHELF41,'2025-05-13 10:00:00',LOW_STOCK
42,42,SKU97308,500,0,20,WH1,SHELF42,'2025-05-13 10:00:00',OUT_OF_STOCK
43,43,SKU26366,500,0,20,WH3,SHELF43,'2025-05-13 10:00:00',IN_STOCK
44,44,SKU10194,500,0,20,WH2,SHELF44,'2025-05-13 10:00:00',LOW_STOCK
45,45,SKU32536,500,0,20,WH1,SHELF45,'2025-05-13 10:00:00',OUT_OF_STOCK
46,46,SKU44319,500,0,20,WH3,SHELF46,'2025-05-13 10:00:00',IN_STOCK
47,47,SKU67170,500,0,20,WH2,SHELF47,'2025-05-13 10:00:00',LOW_STOCK
48,48,SKU17923,500,0,20,WH1,SHELF48,'2025-05-13 10:00:00',OUT_OF_STOCK
49,49,SKU58535,500,0,20,WH3,SHELF49,'2025-05-13 10:00:00',IN_STOCK
50,50,SKU19148,500,0,20,WH2,SHELF50,'2025-05-13 10:00:00',LOW_STOCK
51,51,SKU35017,500,0,20,WH1,SHELF51,'2025-05-13 10:00:00',OUT_OF_STOCK
52,52,SKU37403,500,0,20,WH3,SHELF52,'2025-05-13 10:00:00',IN_STOCK
53,53,SKU52551,500,0,20,WH2,SHELF53,'2025-05-13 10:00:00',LOW_STOCK
54,54,SKU73845,500,0,20,WH1,SHELF54,'2025-05-13 10:00:00',OUT_OF_STOCK
55,55,SKU70116,500,0,20,WH3,SHELF55,'2025-05-13 10:00:00',IN_STOCK
56,56,SKU50713,500,0,20,WH2,SHELF56,'2025-05-13 10:00:00',LOW_STOCK
57,57,SKU76141,500,0,20,WH1,SHELF57,'2025-05-13 10:00:00',OUT_OF_STOCK
58,58,SKU18463,500,0,20,WH3,SHELF58,'2025-05-13 10:00:00',IN_STOCK
59,59,SKU80567,500,0,20,WH2,SHELF59,'2025-05-13 10:00:00',LOW_STOCK
60,60,SKU13762,500,0,20,WH1,SHELF60,'2025-05-13 10:00:00',OUT_OF_STOCK
61,61,SKU93369,500,0,20,WH3,SHELF61,'2025-05-13 10:00:00',IN_STOCK
62,62,SKU34854,500,0,20,WH2,SHELF62,'2025-05-13 10:00:00',LOW_STOCK
63,63,SKU14782,500,0,20,WH1,SHELF63,'2025-05-13 10:00:00',OUT_OF_STOCK
64,64,SKU87768,500,0,20,WH3,SHELF64,'2025-05-13 10:00:00',IN_STOCK
65,65,SKU50213,500,0,20,WH2,SHELF65,'2025-05-13 10:00:00',LOW_STOCK
66,66,SKU18175,500,0,20,WH1,SHELF66,'2025-05-13 10:00:00',OUT_OF_STOCK
67,67,SKU21345,500,0,20,WH3,SHELF67,'2025-05-13 10:00:00',IN_STOCK
68,68,SKU84619,500,0,20,WH2,SHELF68,'2025-05-13 10:00:00',LOW_STOCK
69,69,SKU36435,500,0,20,WH1,SHELF69,'2025-05-13 10:00:00',OUT_OF_STOCK
70,70,SKU91081,500,0,20,WH3,SHELF70,'2025-05-13 10:00:00',IN_STOCK
71,71,SKU56337,500,0,20,WH2,SHELF71,'2025-05-13 10:00:00',LOW_STOCK
72,72,SKU25356,500,0,20,WH1,SHELF72,'2025-05-13 10:00:00',OUT_OF_STOCK
73,73,SKU56734,500,0,20,WH3,SHELF73,'2025-05-13 10:00:00',IN_STOCK
74,74,SKU96138,500,0,20,WH2,SHELF74,'2025-05-13 10:00:00',LOW_STOCK
75,75,SKU23711,500,0,20,WH1,SHELF75,'2025-05-13 10:00:00',OUT_OF_STOCK
76,76,SKU65620,500,0,20,WH3,SHELF76,'2025-05-13 10:00:00',IN_STOCK
77,77,SKU23104,500,0,20,WH2,SHELF77,'2025-05-13 10:00:00',LOW_STOCK
78,78,SKU93284,500,0,20,WH1,SHELF78,'2025-05-13 10:00:00',OUT_OF_STOCK
79,79,SKU16083,500,0,20,WH3,SHELF79,'2025-05-13 10:00:00',IN_STOCK
80,80,SKU19058,500,0,20,WH2,SHELF80,'2025-05-13 10:00:00',LOW_STOCK
81,81,SKU72767,500,0,20,WH1,SHELF81,'2025-05-13 10:00:00',OUT_OF_STOCK
82,82,SKU83258,500,0,20,WH3,SHELF82,'2025-05-13 10:00:00',IN_STOCK
83,83,SKU84863,500,0,20,WH2,SHELF83,'2025-05-13 10:00:00',LOW_STOCK
84,84,SKU75914,500,0,20,WH1,SHELF84,'2025-05-13 10:00:00',OUT_OF_STOCK
85,85,SKU65262,500,0,20,WH3,SHELF85,'2025-05-13 10:00:00',IN_STOCK
86,86,SKU74838,500,0,20,WH2,SHELF86,'2025-05-13 10:00:00',LOW_STOCK
87,87,SKU64456,500,0,20,WH1,SHELF87,'2025-05-13 10:00:00',OUT_OF_STOCK
88,88,SKU83088,500,0,20,WH3,SHELF88,'2025-05-13 10:00:00',IN_STOCK
89,89,SKU26441,500,0,20,WH2,SHELF89,'2025-05-13 10:00:00',LOW_STOCK
90,90,SKU87443,500,0,20,WH1,SHELF90,'2025-05-13 10:00:00',OUT_OF_STOCK
91,91,SKU88866,500,0,20,WH3,SHELF91,'2025-05-13 10:00:00',IN_STOCK
92,92,SKU17103,500,0,20,WH2,SHELF92,'2025-05-13 10:00:00',LOW_STOCK
93,93,SKU21117,500,0,20,WH1,SHELF93,'2025-05-13 10:00:00',OUT_OF_STOCK
94,94,SKU60272,500,0,20,WH3,SHELF94,'2025-05-13 10:00:00',IN_STOCK
95,95,SKU77151,500,0,20,WH2,SHELF95,'2025-05-13 10:00:00',LOW_STOCK
96,96,SKU99626,500,0,20,WH1,SHELF96,'2025-05-13 10:00:00',OUT_OF_STOCK
97,97,SKU83512,500,0,20,WH3,SHELF97,'2025-05-13 10:00:00',IN_STOCK
98,98,SKU16819,500,0,20,WH2,SHELF98,'2025-05-13 10:00:00',LOW_STOCK
99,99,SKU83787,500,0,20,WH1,SHELF99,'2025-05-13 10:00:00',OUT_OF_STOCK
100,100,SKU21082,500,0,20,WH3,SHELF100,'2025-05-13 10:00:00',IN_STOCK
101,101,SKU49506,500,0,20,WH2,SHELF101,'2025-05-13 10:00:00',LOW_STOCK
102,102,SKU16414,500,0,20,WH1,SHELF102,'2025-05-13 10:00:00',OUT_OF_STOCK
103,103,SKU64299,500,0,20,WH3,SHELF103,'2025-05-13 10:00:00',IN_STOCK
104,104,SKU31187,500,0,20,WH2,SHELF104,'2025-05-13 10:00:00',LOW_STOCK
105,105,SKU19777,500,0,20,WH1,SHELF105,'2025-05-13 10:00:00',OUT_OF_STOCK
106,106,SKU17124,500,0,20,WH3,SHELF106,'2025-05-13 10:00:00',IN_STOCK
107,107,SKU48465,500,0,20,WH2,SHELF107,'2025-05-13 10:00:00',LOW_STOCK
108,108,SKU66129,500,0,20,WH1,SHELF108,'2025-05-13 10:00:00',OUT_OF_STOCK
109,109,SKU73199,500,0,20,WH3,SHELF109,'2025-05-13 10:00:00',IN_STOCK
110,110,SKU22445,500,0,20,WH2,SHELF110,'2025-05-13 10:00:00',LOW_STOCK
111,111,SKU47945,500,0,20,WH1,SHELF111,'2025-05-13 10:00:00',OUT_OF_STOCK
112,112,SKU30235,500,0,20,WH3,SHELF112,'2025-05-13 10:00:00',IN_STOCK
113,113,SKU55361,500,0,20,WH2,SHELF113,'2025-05-13 10:00:00',LOW_STOCK
114,114,SKU18744,500,0,20,WH1,SHELF114,'2025-05-13 10:00:00',OUT_OF_STOCK
115,115,SKU77996,500,0,20,WH3,SHELF115,'2025-05-13 10:00:00',IN_STOCK
116,116,SKU87263,500,0,20,WH2,SHELF116,'2025-05-13 10:00:00',LOW_STOCK
117,117,SKU61672,500,0,20,WH1,SHELF117,'2025-05-13 10:00:00',OUT_OF_STOCK
118,118,SKU11526,500,0,20,WH3,SHELF118,'2025-05-13 10:00:00',IN_STOCK
